,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score
0,두산,6,한화,4,2022-04-02 14:00:00,잠실,서울,13.7,10
1,NC,0,SSG,4,2022-04-02 14:00:00,창원,창원,12.9,4
2,KT,4,삼성,1,2022-04-02 14:00:00,수원,수원,12.5,5
3,KIA,0,LG,9,2022-04-02 14:00:00,광주,광주,14.7,9
4,키움,2,롯데,7,2022-04-02 14:00:00,고척,서울,13.7,9
5,두산,1,한화,0,2022-04-03 14:00:00,잠실,서울,16.3,1
6,NC,1,SSG,4,2022-04-03 14:00:00,창원,창원,15.4,5
7,KT,5,삼성,6,2022-04-03 14:00:00,수원,수원,15.0,11
8,KIA,2,LG,3,2022-04-03 14:00:00,광주,광주,17.5,5
9,키움,4,롯데,3,2022-04-03 14:00:00,고척,서울,16.3,7
10,두산,5,삼성,6,2022-04-05 18:30:00,잠실,서울,11.4,11
11,NC,1,롯데,5,2022-04-05 18:30:00,창원,창원,12.3,6
12,KT,5,SSG,8,2022-04-05 18:30:00,수원,수원,11.3,13
13,KIA,4,한화,3,2022-04-05 18:30:00,광주,광주,12.4,7
14,키움,4,LG,8,2022-04-05 18:30:00,고척,서울,11.4,12
15,두산,1,삼성,7,2022-04-06 18:30:00,잠실,서울,11.9,8
16,NC,5,롯데,0,2022-04-06 18:30:00,창원,창원,13.7,5
17,KT,0,SSG,3,2022-04-06 18:30:00,수원,수원,10.0,3
18,KIA,7,한화,4,2022-04-06 18:30:00,광주,광주,13.3,11
19,키움,1,LG,2,2022-04-06 18:30:00,고척,서울,11.9,3
20,두산,6,삼성,5,2022-04-07 18:30:00,잠실,서울,9.4,11
21,NC,1,롯데,2,2022-04-07 18:30:00,창원,창원,17.3,3
22,KT,3,SSG,4,2022-04-07 18:30:00,수원,수원,8.9,7
23,KIA,6,한화,2,2022-04-07 18:30:00,광주,광주,13.0,8
24,키움,0,LG,6,2022-04-07 18:30:00,고척,서울,9.4,6
25,LG,1,NC,4,2022-04-08 18:30:00,잠실,서울,15.4,5
26,SSG,3,KIA,0,2022-04-08 18:30:00,문학,인천,13.3,3
27,롯데,1,두산,6,2022-04-08 18:30:00,사직,부산,14.3,7
28,삼성,0,키움,1,2022-04-08 18:30:00,대구,대구,19.3,1
29,한화,2,KT,4,2022-04-08 18:30:00,대전,대전,17.6,6
30,LG,7,NC,6,2022-04-09 17:00:00,잠실,서울,21.4,13
31,SSG,9,KIA,5,2022-04-09 17:00:00,문학,인천,18.0,14
32,롯데,5,두산,4,2022-04-09 17:00:00,사직,부산,18.8,9
33,삼성,0,키움,3,2022-04-09 17:00:00,대구,대구,25.1,3
34,한화,7,KT,1,2022-04-09 17:00:00,대전,대전,23.4,8
35,LG,5,NC,3,2022-04-10 14:00:00,잠실,서울,25.0,8
36,SSG,11,KIA,2,2022-04-10 14:00:00,문학,인천,20.2,13
37,롯데,3,두산,4,2022-04-10 14:00:00,사직,부산,21.1,7
38,삼성,5,키움,6,2022-04-10 14:00:00,대구,대구,27.1,11
39,한화,6,KT,4,2022-04-10 14:00:00,대전,대전,27.0,10
40,LG,1,SSG,4,2022-04-12 18:30:00,잠실,서울,17.0,5
41,삼성,2,한화,0,2022-04-12 18:30:00,대구,대구,24.8,2
42,KT,1,두산,3,2022-04-12 18:30:00,수원,수원,14.6,4
43,KIA,6,롯데,5,2022-04-12 18:30:00,광주,광주,20.5,11
44,키움,10,NC,0,2022-04-12 18:30:00,고척,서울,17.0,10
45,LG,2,SSG,4,2022-04-13 18:30:00,잠실,서울,12.2,6
46,삼성,12,한화,1,2022-04-13 18:30:00,대구,대구,10.2,13
47,키움,5,NC,4,2022-04-13 18:30:00,고척,서울,12.2,9
48,LG,5,SSG,1,2022-04-14 18:30:00,잠실,서울,13.4,6
49,삼성,8,한화,3,2022-04-14 18:30:00,대구,대구,11.0,11
50,KT,4,두산,5,2022-04-14 18:30:00,수원,수원,13.0,9
51,KIA,2,롯데,3,2022-04-14 18:30:00,광주,광주,16.9,5
52,키움,1,NC,0,2022-04-14 18:30:00,고척,서울,13.4,1
53,두산,2,키움,4,2022-04-15 18:30:00,잠실,서울,14.0,6
54,SSG,5,삼성,0,2022-04-15 18:30:00,문학,인천,12.5,5
55,롯데,9,KT,7,2022-04-15 18:30:00,사직,부산,10.4,16
56,NC,5,KIA,0,2022-04-15 18:30:00,창원,창원,11.7,5
57,한화,7,LG,3,2022-04-15 18:30:00,대전,대전,12.9,10
58,SSG,6,삼성,2,2022-04-16 14:00:00,문학,인천,15.5,8
59,두산,4,키움,1,2022-04-16 17:00:00,잠실,서울,17.2,5
60,롯데,0,KT,8,2022-04-16 17:00:00,사직,부산,13.4,8
61,NC,0,KIA,14,2022-04-16 17:00:00,창원,창원,12.5,14
62,한화,2,LG,6,2022-04-16 17:00:00,대전,대전,18.3,8
63,두산,2,키움,6,2022-04-17 14:00:00,잠실,서울,21.2,8
64,SSG,7,삼성,5,2022-04-17 14:00:00,문학,인천,14.3,12
65,롯데,3,KT,0,2022-04-17 14:00:00,사직,부산,18.4,3
66,NC,3,KIA,4,2022-04-17 14:00:00,창원,창원,20.6,7
67,한화,7,LG,8,2022-04-17 14:00:00,대전,대전,21.8,15
68,LG,0,KT,5,2022-04-19 18:30:00,잠실,서울,15.7,5
69,SSG,5,키움,8,2022-04-19 18:30:00,문학,인천,11.0,13
70,롯데,2,한화,6,2022-04-19 18:30:00,사직,부산,15.6,8
71,NC,11,삼성,8,2022-04-19 18:30:00,창원,창원,16.6,19
72,KIA,6,두산,3,2022-04-19 18:30:00,광주,광주,16.5,9
73,LG,3,KT,5,2022-04-20 18:30:00,잠실,서울,16.5,8
74,SSG,6,키움,1,2022-04-20 18:30:00,문학,인천,12.2,7
75,롯데,7,한화,0,2022-04-20 18:30:00,사직,부산,17.9,7
76,NC,3,삼성,0,2022-04-20 18:30:00,창원,창원,17.3,3
77,KIA,3,두산,4,2022-04-20 18:30:00,광주,광주,17.0,7
78,LG,2,KT,6,2022-04-21 18:30:00,잠실,서울,17.0,8
79,SSG,4,키움,2,2022-04-21 18:30:00,문학,인천,14.0,6
80,롯데,6,한화,7,2022-04-21 18:30:00,사직,부산,12.6,13
81,NC,3,삼성,10,2022-04-21 18:30:00,창원,창원,11.4,13
82,KIA,1,두산,2,2022-04-21 18:30:00,광주,광주,16.6,3
83,두산,1,LG,5,2022-04-22 18:30:00,잠실,서울,14.2,6
84,삼성,2,롯데,8,2022-04-22 18:30:00,대구,대구,22.1,10
85,KT,4,NC,3,2022-04-22 18:30:00,수원,수원,13.9,7
86,키움,4,KIA,5,2022-04-22 18:30:00,고척,서울,14.2,9
87,한화,2,SSG,0,2022-04-22 18:30:00,대전,대전,16.0,2
88,키움,3,KIA,1,2022-04-23 14:00:00,고척,서울,24.7,4
89,두산,4,LG,2,2022-04-23 17:00:00,잠실,서울,24.3,6
90,삼성,2,롯데,4,2022-04-23 17:00:00,대구,대구,20.3,6
91,KT,4,NC,3,2022-04-23 17:00:00,수원,수원,22.1,7
92,한화,9,SSG,2,2022-04-23 17:00:00,대전,대전,24.1,11
93,두산,0,LG,5,2022-04-24 14:00:00,잠실,서울,24.1,5
94,삼성,4,롯데,7,2022-04-24 14:00:00,대구,대구,28.8,11
95,KT,1,NC,2,2022-04-24 14:00:00,수원,수원,24.0,3
96,키움,2,KIA,14,2022-04-24 14:00:00,고척,서울,24.1,16
97,한화,1,SSG,3,2022-04-24 14:00:00,대전,대전,26.7,4
98,두산,8,NC,4,2022-04-26 18:30:00,잠실,서울,22.7,12
99,롯데,1,SSG,8,2022-04-26 18:30:00,사직,부산,17.0,9
100,삼성,7,LG,4,2022-04-26 18:30:00,대구,대구,19.7,11
101,KT,5,KIA,10,2022-04-26 18:30:00,수원,수원,19.9,15
102,한화,5,키움,2,2022-04-26 18:30:00,대전,대전,20.5,7
103,두산,6,NC,5,2022-04-27 18:30:00,잠실,서울,18.0,11
104,롯데,1,SSG,1,2022-04-27 18:30:00,사직,부산,14.2,2
105,삼성,0,LG,7,2022-04-27 18:30:00,대구,대구,15.4,7
106,KT,3,KIA,1,2022-04-27 18:30:00,수원,수원,15.0,4
107,한화,0,키움,7,2022-04-27 18:30:00,대전,대전,18.6,7
108,두산,5,NC,9,2022-04-28 18:30:00,잠실,서울,19.0,14
109,롯데,4,SSG,1,2022-04-28 18:30:00,사직,부산,15.2,5
110,삼성,4,LG,6,2022-04-28 18:30:00,대구,대구,15.0,10
111,KT,5,KIA,3,2022-04-28 18:30:00,수원,수원,15.1,8
112,한화,1,키움,3,2022-04-28 18:30:00,대전,대전,18.1,4
113,LG,4,롯데,9,2022-04-29 18:30:00,잠실,서울,14.4,13
114,SSG,8,두산,7,2022-04-29 18:30:00,문학,인천,14.1,15
115,NC,9,한화,4,2022-04-29 18:30:00,창원,창원,11.4,13
116,KIA,3,삼성,4,2022-04-29 18:30:00,광주,광주,14.8,7
117,키움,4,KT,6,2022-04-29 18:30:00,고척,서울,14.4,10
118,KIA,4,삼성,5,2022-04-30 14:00:00,광주,광주,14.9,9
119,LG,1,롯데,3,2022-04-30 17:00:00,잠실,서울,13.6,4
120,SSG,2,두산,1,2022-04-30 17:00:00,문학,인천,11.6,3
121,NC,0,한화,2,2022-04-30 17:00:00,창원,창원,15.0,2
122,키움,4,KT,1,2022-04-30 17:00:00,고척,서울,13.6,5
123,LG,0,롯데,4,2022-05-01 14:00:00,잠실,서울,18.8,4
124,SSG,0,두산,9,2022-05-01 14:00:00,문학,인천,15.1,9
125,NC,1,한화,2,2022-05-01 14:00:00,창원,창원,19.6,3
126,KIA,3,삼성,6,2022-05-01 14:00:00,광주,광주,19.0,9
127,키움,9,KT,3,2022-05-01 14:00:00,고척,서울,18.8,12
128,LG,4,두산,3,2022-05-03 18:30:00,잠실,서울,15.1,7
129,SSG,4,한화,2,2022-05-03 18:30:00,문학,인천,12.5,6
130,삼성,6,NC,10,2022-05-03 18:30:00,대구,대구,20.0,16
131,KT,10,롯데,5,2022-05-03 18:30:00,수원,수원,14.6,15
132,KIA,1,키움,7,2022-05-03 18:30:00,광주,광주,16.3,8
133,LG,2,두산,5,2022-05-04 18:30:00,잠실,서울,19.8,7
134,SSG,5,한화,8,2022-05-04 18:30:00,문학,인천,16.5,13
135,삼성,11,NC,5,2022-05-04 18:30:00,대구,대구,21.2,16
136,KT,0,롯데,5,2022-05-04 18:30:00,수원,수원,18.7,5
137,KIA,4,키움,3,2022-05-04 18:30:00,광주,광주,18.9,7
138,LG,4,두산,9,2022-05-05 14:00:00,잠실,서울,25.7,13
139,SSG,14,한화,4,2022-05-05 14:00:00,문학,인천,21.5,18
140,삼성,5,NC,2,2022-05-05 14:00:00,대구,대구,27.4,7
141,KT,8,롯데,2,2022-05-05 14:00:00,수원,수원,24.6,10
142,KIA,10,키움,1,2022-05-05 14:00:00,광주,광주,25.9,11
143,두산,0,KT,6,2022-05-06 18:30:00,잠실,서울,19.6,6
144,롯데,0,삼성,5,2022-05-06 18:30:00,사직,부산,18.8,5
145,NC,8,LG,15,2022-05-06 18:30:00,창원,창원,19.3,23
146,키움,9,SSG,2,2022-05-06 18:30:00,고척,서울,19.6,11
147,한화,2,KIA,13,2022-05-06 18:30:00,대전,대전,21.0,15
148,두산,11,KT,8,2022-05-07 17:00:00,잠실,서울,20.7,19
149,롯데,1,삼성,4,2022-05-07 17:00:00,사직,부산,17.4,5
150,NC,3,LG,6,2022-05-07 17:00:00,창원,창원,23.1,9
151,키움,0,SSG,3,2022-05-07 17:00:00,고척,서울,20.7,3
152,한화,4,KIA,5,2022-05-07 17:00:00,대전,대전,21.3,9
153,두산,0,KT,5,2022-05-08 14:00:00,잠실,서울,17.6,5
154,롯데,2,삼성,4,2022-05-08 14:00:00,사직,부산,19.1,6
155,NC,2,LG,3,2022-05-08 14:00:00,창원,창원,18.9,5
156,키움,2,SSG,6,2022-05-08 14:00:00,고척,서울,17.6,8
157,한화,6,KIA,7,2022-05-08 14:00:00,대전,대전,23.3,13
158,LG,9,한화,1,2022-05-10 18:30:00,잠실,서울,20.6,10
159,롯데,7,NC,0,2022-05-10 18:30:00,사직,부산,15.6,7
160,삼성,1,SSG,3,2022-05-10 18:30:00,대구,대구,17.5,4
161,KIA,1,KT,0,2022-05-10 18:30:00,광주,광주,18.8,1
162,키움,0,두산,9,2022-05-10 18:30:00,고척,서울,20.6,9
163,LG,5,한화,2,2022-05-11 18:30:00,잠실,서울,18.6,7
164,롯데,6,NC,5,2022-05-11 18:30:00,사직,부산,18.5,11
165,삼성,6,SSG,5,2022-05-11 18:30:00,대구,대구,24.1,11
166,KIA,5,KT,10,2022-05-11 18:30:00,광주,광주,20.8,15
167,키움,1,두산,5,2022-05-11 18:30:00,고척,서울,18.6,6
168,LG,11,한화,7,2022-05-12 18:30:00,잠실,서울,21.6,18
169,롯데,2,NC,4,2022-05-12 18:30:00,사직,부산,17.5,6
170,삼성,4,SSG,2,2022-05-12 18:30:00,대구,대구,18.7,6
171,KIA,5,KT,4,2022-05-12 18:30:00,광주,광주,21.0,9
172,키움,2,두산,3,2022-05-12 18:30:00,고척,서울,21.6,5
173,LG,1,KIA,10,2022-05-13 18:30:00,잠실,서울,18.6,11
174,SSG,2,NC,6,2022-05-13 18:30:00,문학,인천,17.8,8
175,KT,5,키움,7,2022-05-13 18:30:00,수원,수원,19.2,12
176,한화,1,롯데,8,2022-05-13 18:30:00,대전,대전,18.0,9
177,LG,5,KIA,3,2022-05-14 17:00:00,잠실,서울,17.6,8
178,SSG,2,NC,1,2022-05-14 17:00:00,문학,인천,15.7,3
179,삼성,4,두산,0,2022-05-14 17:00:00,대구,대구,21.8,4
180,KT,0,키움,3,2022-05-14 17:00:00,수원,수원,15.6,3
181,한화,5,롯데,8,2022-05-14 17:00:00,대전,대전,18.3,13
182,LG,6,KIA,3,2022-05-15 14:00:00,잠실,서울,21.9,9
183,SSG,7,NC,8,2022-05-15 14:00:00,문학,인천,18.1,15
184,삼성,4,두산,3,2022-05-15 14:00:00,대구,대구,22.5,7
185,KT,1,키움,5,2022-05-15 14:00:00,수원,수원,19.9,6
186,한화,8,롯데,4,2022-05-15 14:00:00,대전,대전,22.0,12
187,두산,9,SSG,9,2022-05-17 18:30:00,잠실,서울,20.9,18
188,롯데,3,KIA,4,2022-05-17 18:30:00,사직,부산,17.4,7
189,NC,4,키움,11,2022-05-17 18:30:00,창원,창원,18.5,15
190,KT,3,LG,2,2022-05-17 18:30:00,수원,수원,20.5,5
191,한화,4,삼성,3,2022-05-17 18:30:00,대전,대전,21.6,7
192,두산,2,SSG,5,2022-05-18 18:30:00,잠실,서울,21.5,7
193,롯데,7,KIA,15,2022-05-18 18:30:00,사직,부산,19.0,22
194,NC,15,키움,3,2022-05-18 18:30:00,창원,창원,19.5,18
195,KT,1,LG,9,2022-05-18 18:30:00,수원,수원,21.7,10
196,한화,3,삼성,5,2022-05-18 18:30:00,대전,대전,22.8,8
197,두산,3,SSG,9,2022-05-19 18:30:00,잠실,서울,19.2,12
198,롯데,2,KIA,4,2022-05-19 18:30:00,사직,부산,18.1,6
199,NC,1,키움,3,2022-05-19 18:30:00,창원,창원,18.2,4
200,KT,3,LG,7,2022-05-19 18:30:00,수원,수원,20.0,10
201,한화,1,삼성,2,2022-05-19 18:30:00,대전,대전,20.4,3
202,두산,0,롯데,4,2022-05-20 18:30:00,잠실,서울,21.1,4
203,SSG,5,LG,4,2022-05-20 18:30:00,문학,인천,18.1,9
204,삼성,1,KT,5,2022-05-20 18:30:00,대구,대구,25.5,6
205,KIA,5,NC,3,2022-05-20 18:30:00,광주,광주,19.3,8
206,키움,4,한화,3,2022-05-20 18:30:00,고척,서울,21.1,7
207,두산,12,롯데,4,2022-05-21 14:00:00,잠실,서울,25.5,16
208,SSG,3,LG,4,2022-05-21 17:00:00,문학,인천,17.7,7
209,삼성,2,KT,5,2022-05-21 17:00:00,대구,대구,28.0,7
210,KIA,4,NC,7,2022-05-21 17:00:00,광주,광주,24.8,11
211,키움,11,한화,2,2022-05-21 17:00:00,고척,서울,23.0,13
212,두산,4,롯데,5,2022-05-22 14:00:00,잠실,서울,25.7,9
213,SSG,3,LG,1,2022-05-22 14:00:00,문학,인천,20.2,4
214,삼성,4,KT,3,2022-05-22 14:00:00,대구,대구,31.8,7
215,KIA,8,NC,6,2022-05-22 14:00:00,광주,광주,29.5,14
216,키움,5,한화,6,2022-05-22 14:00:00,고척,서울,25.7,11
217,LG,4,키움,6,2022-05-24 18:30:00,잠실,서울,23.3,10
218,SSG,3,롯데,2,2022-05-24 18:30:00,문학,인천,19.9,5
219,삼성,3,KIA,4,2022-05-24 18:30:00,대구,대구,27.0,7
220,NC,3,KT,2,2022-05-24 18:30:00,창원,창원,21.5,5
221,한화,6,두산,3,2022-05-24 18:30:00,대전,대전,24.3,9
222,LG,5,키움,10,2022-05-25 18:30:00,잠실,서울,19.8,15
223,SSG,9,롯데,1,2022-05-25 18:30:00,문학,인천,17.2,10
224,삼성,5,KIA,11,2022-05-25 18:30:00,대구,대구,25.7,16
225,NC,2,KT,3,2022-05-25 18:30:00,창원,창원,21.1,5
226,한화,14,두산,1,2022-05-25 18:30:00,대전,대전,21.7,15
227,LG,5,키움,12,2022-05-26 18:30:00,잠실,서울,18.8,17
228,SSG,6,롯데,5,2022-05-26 18:30:00,문학,인천,16.5,11
229,삼성,7,KIA,9,2022-05-26 18:30:00,대구,대구,24.2,16
230,NC,1,KT,2,2022-05-26 18:30:00,창원,창원,20.3,3
231,한화,3,두산,24,2022-05-26 18:30:00,대전,대전,20.0,27
232,LG,5,삼성,0,2022-05-27 18:30:00,잠실,서울,20.2,5
233,롯데,0,키움,8,2022-05-27 18:30:00,사직,부산,23.4,8
234,NC,1,두산,6,2022-05-27 18:30:00,창원,창원,25.7,7
235,KT,0,한화,4,2022-05-27 18:30:00,수원,수원,18.6,4
236,KIA,1,SSG,8,2022-05-27 18:30:00,광주,광주,21.4,9
237,롯데,3,키움,6,2022-05-28 14:00:00,사직,부산,23.1,9
238,KIA,9,SSG,3,2022-05-28 14:00:00,광주,광주,29.1,12
239,LG,9,삼성,4,2022-05-28 17:00:00,잠실,서울,26.4,13
